rank,title,year,rating,movie_url
1,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.1,https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,9.0,https://www.imdb.com/title/tt0050083/
6,The Lord of the Rings: The Return of the King,2004,9.0,https://www.imdb.com/title/tt0167260/
7,Schindler&apos;s List,1993,9.0,https://www.imdb.com/title/tt0108052/
8,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2002,8.9,https://www.imdb.com/title/tt0120737/
10,"Il buono, il brutto, il cattivo",1969,8.8,https://www.imdb.com/title/tt0060196/
11,Forrest Gump,2014,8.8,https://www.imdb.com/title/tt0109830/
12,The Lord of the Rings: The Two Towers,2003,8.8,https://www.imdb.com/title/tt0167261/
13,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
14,Inception,2010,8.8,https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/
17,GoodFellas,2019,8.7,https://www.imdb.com/title/tt0099685/
18,Interstellar,2014,8.7,https://www.imdb.com/title/tt0816692/
19,One Flew Over the Cuckoo&apos;s Nest,1977,8.7,https://www.imdb.com/title/tt0073486/
20,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/
21,It&apos;s a Wonderful Life,1947,8.6,https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
23,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
24,Saving Private Ryan,1999,8.6,https://www.imdb.com/title/tt0120815/
25,The Green Mile,2000,8.6,https://www.imdb.com/title/tt0120689/
26,Cidade de Deus,2007,8.6,https://www.imdb.com/title/tt0317248/
27,La vita è bella,2000,8.6,https://www.imdb.com/title/tt0118799/
28,Terminator 2: Judgment Day,1991,8.6,https://www.imdb.com/title/tt0103064/
29,Star Wars,1978,8.6,https://www.imdb.com/title/tt0076759/
30,Back to the Future,1986,8.5,https://www.imdb.com/title/tt0088763/
31,Sen to Chihiro no kamikakushi,2020,8.6,https://www.imdb.com/title/tt0245429/
32,The Pianist,2019,8.5,https://www.imdb.com/title/tt0253474/
33,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
34,Gisaengchung,2020,8.5,https://www.imdb.com/title/tt6751668/
35,Psycho,2020,8.5,https://www.imdb.com/title/tt0054215/
36,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/
37,Hotaru no haka,1988,8.5,https://www.imdb.com/title/tt0095327/
38,The Departed,2007,8.5,https://www.imdb.com/title/tt0407887/
39,Whiplash,2015,8.5,https://www.imdb.com/title/tt2582802/
40,Seppuku,1962,8.6,https://www.imdb.com/title/tt0056058/
